Nazwa;Ludność;Powierzchnia
Powiat żywiecki;148829;1040
Powiat m. Bielsko-Biała;165766;124
Powiat m. Bytom;147759;69
Powiat m. Chorzów;100593;33
Powiat m. Częstochowa;205969;160
Powiat m. Dąbrowa Górnicza;113460;189
Powiat m. Gliwice;169915;134
Powiat m. Jastrzębie-Zdrój;82301;85
Powiat m. Jaworzno;86812;152
Powiat m. Katowice;279190;165
Powiat m. Mysłowice;71280;66
Powiat m. Piekary Śląskie;51707;40
Powiat m. Ruda Śląska;130302;78
Powiat m. Rybnik;130887;148
Powiat m. Siemianowice Śląskie;63401;26
Powiat m. Sosnowiec;187115;91
Powiat m. Świętochłowice;45434;13
Powiat m. Tychy;122045;82
Powiat m. Zabrze;153838;80
Powiat m. Żory;61774;65
Powiat buski;67817;968
Powiat jędrzejowski;81057;1257
Powiat kazimierski;31693;422
Powiat kielecki;211764;2246
Powiat konecki;73741;1140
Powiat opatowski;48394;911
Powiat ostrowiecki;100058;617
Powiat pińczowski;36739;613
Powiat sandomierski;71824;676
Powiat skarżyski;68103;395
Powiat starachowicki;83634;523
Powiat staszowski;68448;925
Powiat włoszczowski;42932;906
Powiat m. Kielce;182295;110
Powiat bartoszycki;52674;1307
Powiat braniewski;37281;1204
Powiat działdowski;61416;954
Powiat elbląski;54142;1413
Powiat ełcki;88343;1113
Powiat giżycki;53736;1120
Powiat iławski;89870;1385
Powiat kętrzyński;57045;1213
Powiat lidzbarski;38126;925
Powiat mrągowski;47472;1065
Powiat nidzicki;30460;961
Powiat nowomiejski;41964;694
Powiat olecki;31996;874
Powiat olsztyński;129914;2838
Powiat ostródzki;99069;1767
Powiat piski;51969;1775
Powiat szczycieński;66535;1933
Powiat gołdapski;24860;772
Powiat węgorzewski;20804;693
Powiat m. Elbląg;112923;80
Powiat m. Olsztyn;167311;88
Powiat chodzieski;45206;685
Powiat czarnkowsko-trzcianecki;83442;1808
Powiat gnieźnieński;141303;1255
Powiat gostyński;73516;810
Powiat grodziski;51560;644
Powiat jarociński;69749;588
Powiat kaliski;82215;1160
Powiat kępiński;55924;608
Powiat kolski;81562;1011
Powiat koniński;128837;1578
Powiat kościański;77239;722
Powiat krotoszyński;74921;714
Powiat leszczyński;60017;806
